Tweet,Label,char_length,word_count
Tagar #KaburAjaDulu lagi ramai? Sebelum beneran kabur mending upgrade dulu barang-barang kamu biar hidup lebih enak! Laptop skincare koper sampai outfit keren semua ada diskon di Lazada! Baila Link : https://t.co/6ciCgsrkiu #coachNY #GiveawayIndonesia #bbtvi #zonajajanᅠᅠ https://t.co/exhkJCvMf4,Neutral,295,36
@Ben3atha Tagar #KaburAjaDulu lagi ramai? Sebelum beneran kabur mending upgrade dulu barang-barang kamu biar hidup lebih enak! Laptop skincare koper sampai outfit keren semua ada diskon di Lazada! Beli lewat link ini : https://t.co/6ciCgsrkiu https://t.co/QQp98zqdoF,Neutral,266,35
@Skenanews Tagar #KaburAjaDulu lagi ramai? Sebelum beneran kabur mending upgrade dulu barang-barang kamu biar hidup lebih enak! Laptop skincare koper sampai outfit keren semua ada diskon di Lazada! Beli lewat link ini ya (ada komisi buat aku juga hehe): https://t.co/6ciCgsrkiu https://t.co/GJkHNzmpw6,Neutral,301,41
Link tulisan yang lebih enak dibaca di @hariankompas di link berikut: https://t.co/2AbfW5nRgi,Neutral,93,12
@GOAL_ID Yuk bisa yuk pada #KaburAjaDulu,Joy,40,6
@adith_wp Ya udah #KaburAjaDulu.,Neutral,32,4
Follow kita di sini! Twitter: @hellocationofc Telegram: @HelloCation_official Tiktok: @hellocation Youtube: hellocation Threads: https://t.co/gAjuORAmie #HelloCation #KuliahLuarNegeri #StudyAbroad #StudyInAustralia #Melbourne #IISMA #KaburAjaDulu https://t.co/WsaN4Xsimu,Neutral,270,22
@RuangSenja_id #kaburajadulu ,Neutral,29,2
@RuangSenja_id Rapiin itung zakat terus #KaburAjaDulu,Neutral,53,6
Nah gimana nih cationers? Dengan semua kelebihan ini apa kamu juga tertarik untuk #KaburAjaDulu ke Denmark? 🇩🇰 Follow us on Twitter: @hellocationofc Telegram: @HelloCation_official Tiktok: @hellocation Youtube: hellocation Threads: https://t.co/gAjuORzOsG https://t.co/fR6gn6fwza,Joy,279,31
silakan yang mau ikut #KaburAjaDulu ke 🇰🇷 https://t.co/jsdvSUgy4g,Neutral,65,8
@boncusho @FAJARSPORT1 @grok @ZulkifliLubis69 Wah saya ga berani komen lagi #takutdiajaktukarpikiran .... Maklum cuma triple minoritas numpang bertahan hidup id negeri ini belum cukup modal untuk #kaburajadulu,Fear,209,27
Udah bisa PO nih~ JLPT Bunpo Goi N4 Point &amp; Practice! Buku ini bantu kamu kuasai vocab &amp; kanji N4 dengan 245 kata penting 118 kanji soal latihan ujian dan penjelasan dalam bhs Inggris Mandarin &amp; Vietnam. Cocok untuk persiapan #KaburAjaDulu https://t.co/jjot7kXpoR https://t.co/TnrirSZq4R,Neutral,299,43
Saya belum baca soal fidusia hukum menyita barang dll. Tapi ya ini gila namanya. Tanpa seragam ID surat tugas... apa yg bisa membedakan penjahat yg sedang beraksi dan debt collector? Alasan lain untuk KaburAjaDulu,Anger,213,34
Menurutmu perlukah Indonesia menerapkan regulasi yang sama? Follow us on Twitter: @hellocationofc Telegram: @HelloCation_official Tiktok: @hellocation Youtube: hellocation Threads: https://t.co/gAjuORAmie #Hellocation #VisitDenmark #Denmark #Screentime #KaburAjaDulu https://t.co/jDztayUZBV,Neutral,290,26
'melalui upaya #kaburajadulu dari keudikan desa Dunia Ketiga yang mesum para sastrawan Indonesia hendak modern dengan mendaras kegemilangan estetika Dunia Pertama' LOL fun essay by martin suryajaya (bersambung) https://t.co/x99xayzN24,Joy,234,29
Konsorsium Korsel Cabut Proyek Rantai Pasokan Baterai Rp 130 T di Indonesia #KaburAjaDulu https://t.co/XfuV8Odcx6,Neutral,113,14
yg lain pamer pencapaian seperti @jumbofilm_id di pinggir panggung masih pamer keprimitifan nya Napa nggk sekalian #KaburAjaDulu,Anger,128,17
Andalan pemula yang lagi siap-siap ujian N5 nih Belajar 46 pola kalimat seru lewat ngobrol bareng teman &amp; pegawai toko elektronik kayak latihan sambil main Ada ekspresi salam angka sampai pre test buat ngukur kemampuan juga Yuk #KaburAjaDulu https://t.co/eJnOt0n0Xw https://t.co/Twp6pFHu3o,Neutral,293,40
BUSINESS NIHONGO 30 Jikan Mau lancar ngobrol di kantor pakai bahasa Jepang? Buku ini cocok buat yang ingin cepat menguasai ekspresi &amp; percakapan kerja yang sopan &amp; efektif. Ada role play ilustrasi menarik &amp; latihan praktis #KaburAjaDulu https://t.co/UHA639S87e https://t.co/6AsVEZiypT,Neutral,296,39
Selagi bisa #KaburAjaDulu gaskeun nak. https://t.co/VSVqIOChiA,Joy,62,6
Go arsenal go.... #ucl0 #UCL #arsenal #siang #KaburAjaDulu #hotma Cek KAPSUL JINTAN HITAM HABATASAUDAH ISI 100 dengan harga Rp23.750. Dapatkan di Shopee sekarang! https://t.co/Mki0EgerPp https://t.co/8LbEBfBjK1,Joy,210,25
Kalo mau lancar ngomong Jepang kayak Nobita aku kasih rahasia dari kantong ajaib yaa SHIN NIHONGO KAIWA TRAINING Latihan daily convo ada terjemahan Inggris Cina Korea juga Belajar jadi gampang kayak pake alat dari masa depan https://t.co/poqTMXO4PN #KaburAjaDulu https://t.co/ArE0oVyB4V,Neutral,286,39
Punya rencana lanjut studi &amp; #kaburajadulu di tahun ini?️ Coba apply 4 beasiswa internasional ini yang gak wajib pulang ke Indonesia ini deh Ada beasiswa incaranmu gak? https://t.co/x5voXUdMEx,Joy,196,28
Belajar JLPT N5 jadi makin seru bareng JLPT DOKKAI N5 POINT &amp; PRACTICE ni Latihan soal ala ujian asli step-by-step dari bacaan pendek plus penjelasan visual-friendly Cocok buat pemula &amp; pejuang JLPT N5. Ada bonus 1x mock test juga^^ https://t.co/lu1GdA6pYM #KaburAjaDulu https://t.co/eE2jO8mQfi,Neutral,302,42
Pebisnis cerdas nggak perlu #KaburAjaDulu. Mereka upgrade sistem keuangan pakai https://t.co/Qp7NhqNlfF: Invoice otomatis Pembayaran real-time Arus kas transparan Gak perlu kabur cukup upgrade! #PaperID #SolusiPebisnisCerdas,Neutral,224,25
@id_bioproject @ardisatriawan Dah bener tuh #kaburajadulu,Neutral,57,6
Cuma mau infoin aja kalo Danggeun-min punya 2 versi buku ini Buku most wanted katanya sihh buat nyelem belajar grammar dasar bakor Buruan jangan keabisan yah Versi baru https://t.co/0qmCR6pcgw Versi preloved https://t.co/neeoZQNnwq #KaburAjaDulu https://t.co/3IVmfbR07o,Neutral,269,34
@logos_id Wk wk wk hayooo yg #kaburajadulu sekarang coba kabur ke Amrik. Ditunggu jangan bacot aja mau kabur.,Anger,109,18
@logos_id Mantab jiwa #KaburAjaDulu,Joy,35,4
@logos_id #KaburAjaDulu Eh malah di tangkep Aduh,Sad,48,7
Dengan kekuatan bulan aku akan membantumu lulus JLPT Eh ini sih kayak Sailormoon yah Buku latihan soal ini punya 3 ujian tips &amp; trik &amp; penjelasan detail Buat yang serius2 aja deh #KaburAjaDulu N2 https://t.co/E3EOzIedLr N1 https://t.co/NMA4t1gHi9 https://t.co/2YSo8xDDmR,Neutral,278,38
#KaburAjaDulu BUKAN !!!! TAPI #KuliahAjaDulu di Kazakhstan Government Scholarship 2025 I Gede Eka Praditya Mahasiswa Kedokteran tahun ke-3 Al-Farabi KNU ️ Minggu 13 April 2025 14.00 WIB - selesai Via Zoom ID: 851 1977 6651 Passcode: 600953 https://t.co/nw7QH38jNq https://t.co/ZhEzP4xYyV,Joy,287,39
Buku persiapan buat yang mau war lolos JLPT N4 N5 tahun ini Latih kemampuan dengan 500 soal per bab (kosakata huruf tata bahasa) ala Nihongo 500 Mon edisi revisi Cocok banget buat belajar mandiri‍ https://t.co/n9DLt0spjA #KaburAjaDulu https://t.co/o2eyIl33SI,Neutral,258,37
Belajar jadi lebih seru &amp; gak bosen Persiapan 1500 Kosakata JLPT N4 ini bukan cuma kamus tapi ada audio contoh kalimat yang gampang diinget &amp; lembar latihan Mock test online-nya juga ngebantu buat ngukur kemampuan! Yuk #KaburAjaDulu https://t.co/TRKDLkGx3Y https://t.co/ItERuAFoql,Neutral,288,39
Satu lagi pesepak bola muda kita yang rela #KaburAjaDulu demi mengejar mimpi. Keysha Bulgamin dan keluarga bahkan memutuskan untuk pindah dari Finlandia ke Belanda demi karier bolanya Keysha. Mereka menilai Belanda punya prospek yang bagus untuk progres sepak bolanya Keysha. https://t.co/45tqwVCDgi,Joy,299,41
Belakangan ini tagar-tagar seperti #IndonesiaGelap #KaburAjaDulu dan #PeringatanDarurat sedang marak digunakan di berbagai kanal sosial media #️⃣ #MudaKuliah #AdadiKompas https://t.co/li6AfKu3Jn https://t.co/Lj551kkMwH,Neutral,218,21
8Alasan #KaburAjaDulu Picu Brain Drain https://t.co/elil9KJBvb,Neutral,62,6
PRE-ORDER Kaitei Ban Mimi Kara Oboeru JLPT N3 DIBUKA Siap gebrak JLPT N3? Pake ini cara kilat ngafalin 876 vocab penting + contoh kalimat dalam 4 bahasa (Eng Chi Kor Viet)! DM ya #KaburAjaDulu https://t.co/gBqMPgcmcB https://t.co/qZvRyzNDHl,Neutral,240,36
Definisi #KaburAjaDulu sejak SD ️,Neutral,33,5
Mau lulus JLPT N5 tapi waktunya mepet? Tenang pake ini siap taklukin Moji Goi Bunpo dalam 15 hari Dari latihan katakana &amp; 110 kanji dasar kosa kata tematik sampai grammar + contoh kalimat. Bonus latihan soal juga Udah siap #KaburAjaDulu kan️ https://t.co/ltWLunooOL https://t.co/P1UMlpx4qB,Neutral,293,43
7 Channel Youtube Bahasa Asing Belajar bahasa asing gak perlu bayar mahal bisa lewat channel Youtube ini Bestie! Bisa jadi modal buat yang mau #kaburajadulu Ada channel favoritmu gak? https://t.co/t970j94bmu,Joy,207,30
Dapet penghasilan tambahan modal maen games doang Lumayan buat jajan sebulan ya kan tutornya disini https://t.co/4RBtstvoiD #LaCasaDeLosFamososCol #stockmarketcrash #investasisaham #danakaget #freelance #KaburAjaDulu https://t.co/31YpPjsjXn,Neutral,240,23
https://t.co/RIV8NPH6Bg,Neutral,23,1
5 Peraturan Perusahaan di Finlandia yang Wajib Diketahui oleh Karyawan dan Pencari Kerja https://t.co/eWwCwcGSXB #kaburajadulu #PeringatanDarurat,Neutral,145,16
Source https://t.co/UMjjOdKaLs https://t.co/kRvTSA3zPx https://t.co/2dmKdO7d8i #mayapadacurang #usutmayapada #usuttuntasmayapada #fyp #viral #usuttuntas #mayapada #tedsioeng #adilimayapada #fact #DarkIndonesia #KaburAjaDulu #IndonesiaGelap2025 #IndonesiaEmas2045 #trending https://t.co/5mM0rML3Jh,Anger,296,20
Source https://t.co/UMjjOdKaLs https://t.co/kRvTSA3zPx https://t.co/2dmKdO7d8i #mayapadacurang #usutmayapada #usuttuntasmayapada #fyp #viral #usuttuntas #mayapada #tedsioeng #adilimayapada #fact #DarkIndonesia #KaburAjaDulu #IndonesiaGelap2025 #IndonesiaEmas2045 #trending https://t.co/JOMFY0s5bZ,Anger,296,20
Sdh 2 hari ini liat tweet yang menyatakan sdh berpindah kewarganegaraan #kaburajadulu slay id do the same thing if i were them,Love,126,22
@neohistoria_id blm lg case sepupu2 jauh di Jawa yg kerja di Malaysia Arab Saudi atau Tetangga yg kerja di Vietnam dan bekas rekan kerja yg skrng jd perawat di Arab Saudi jauh sblm hashtagh #KaburAjaDulu ?,Neutral,205,36
Diaspora Indonesia masih sedikit. Jangan kalah dengan Tiongkok Filipina dan Irlandia. #KaburAjaDulu,Joy,99,12
@idextratime @kapalapi_id kalau kita indonesia gagal lolos piala dunia #kaburajadulu,Sad,84,10
@jeongringitis Halo nderr kebetulan banget nih wangsit indonesia lagi open paid intern! Cocok buat kamu yang mau nabung biar bisa #kaburajadulu langsung cek aja websitenya https://t.co/GssaKgS6IX,Neutral,195,26
Dikasih komedi situasi tiap hari sama politik dalam negeri padahal ga pernah subscribe Yaudah cari ketenangan di negeri ginseng aja🇰🇷 #KaburAjaDulu TOPIK 1 OK https://t.co/j08ZOvorku Passing Korean Language Proficiency Test TOPIK 1 at once https://t.co/U68CEF7Ypy https://t.co/1b2BKVxnW4,Sad,287,36
Kerja : toxic Politik : makin chaotic Kayaknya pindah Korea lebih murah daripada stay &amp; waras di sini‍↕️ #KaburAjaDulu 쏙쏙 한국어 어휘왕 토픽 2 중급 단어사전 문제집 https://t.co/KCdHDAhnmM TOPIK 1 All in One Guide 2025 https://t.co/olAVIdJQCd https://t.co/Lmm6FuFo7r,Sad,252,37
Kalo yang ini 2 in 1 bisa dipake buat N4-N5 NIHONGO CHALLENGE JLPT N4 N5 KANJI https://t.co/h0lFdsuycg MASTERING JAPANESE JLPT N4 N5 https://t.co/raMBd2MWwZ #KaburAjaDulu Saatnya fokus guys https://t.co/Nq6egJWbQy,Neutral,213,28
Yang N4 masuk sini~ 1500 ESSENTIAL VOCAB FOR JLPT N4 (IND TRANS) https://t.co/Oig2b5M2gR N4 QUICK MASTERY READING COMPREHENSION https://t.co/dDqP9mu3fN N4 KANJI VOCABULARY GRAMMAR https://t.co/FIEiVdz7tz #KaburAjaDulu https://t.co/XA23jkKrIS,Neutral,241,26
Source https://t.co/UMjjOdKaLs https://t.co/kRvTSA3zPx https://t.co/2dmKdO7d8i #mayapadacurang #usutmayapada #usuttuntasmayapada #fyp #viral #usuttuntas #mayapada #tedsioeng #adilimayapada #fact #DarkIndonesia #KaburAjaDulu #IndonesiaGelap2025 #IndonesiaEmas2045 #trending https://t.co/mNOoCFz2Lq,Anger,296,20
@neohistoria_id Dulu #kaburajadulu si endut 2025 ga tau ujungnya gimana :),Anger,74,11
Source https://t.co/UMjjOdKaLs https://t.co/kRvTSA3zPx https://t.co/2dmKdO7d8i #mayapadacurang #usutmayapada #usuttuntasmayapada #fyp #viral #usuttuntas #mayapada #tedsioeng #adilimayapada #fact #DarkIndonesia #KaburAjaDulu #IndonesiaGelap2025 #IndonesiaEmas2045 #trending https://t.co/L3uFVmWgzE,Anger,296,20
dan bbrp diantara org kita ada yg kaburajadulu. mereka pikir ID ga bisa ngapa2in tapi anehnya pindah ke AS Jerman Jepang Singapura. yg notabene lebih ga ada sumberdayanya dibanding indonesia.. dan pdhal mereka ga suka JKT. tpi mlah pindah ke SG. knp ga ke solo? lombok? dll,Neutral,273,47
Source https://t.co/UMjjOdKaLs https://t.co/kRvTSA3zPx https://t.co/2dmKdO7d8i #mayapadacurang #usutmayapada #usuttuntasmayapada #fyp #viral #usuttuntas #mayapada #tedsioeng #adilimayapada #fact #DarkIndonesia #KaburAjaDulu #IndonesiaGelap2025 #IndonesiaEmas2045 https://t.co/ZlAwz4wOEx,Anger,286,19
https://t.co/VPquWNCbYE Negeri yang dibangun di atas mimpi para pendiri bangsa. Sayangnya mimpi itu kini berubah jadi mimpi buruk kolektif. Gen Z generasi yang katanya pemilik masa depan #trend #politik #genz #DPR #dpa #MPR #politikindonesia #partaipolitik #indonesia,Sad,267,36
@defenceview_id Kalau bner balik orba #KaburAjaDulu memang pas nih ,Fear,67,9
@BEMUI_Official @aliansibem_si @_bemsi @neohistoria_id biar pada ngumpul para pemicu tagar #indonesigelap #KaburAjaDulu biar kelihatan BOTOL nya kalian,Anger,151,17
Kita harus menolak Revisi UU TNI ini. Tandatangani petisinya https://t.co/NHUlDo7QUs #oposisi #revisiuutni #uutni #indonesiagelap #kaburajadulu https://t.co/EvOtqhmRKy,Anger,167,16
@GOAL_ID Dulu kemana aja ya disaat gemuruh #KaburAjaDulu bergema ni orang malah #pulangahh,Anger,90,13
Destinasi favorite kamu kalau ke luar negeri kemana nih Sobat Valid? https://t.co/4EZqW3r9Qm,Neutral,92,12
@logos_id Presidennya sndiri bilang kl demo itu disusupi asing. Bilang kl yg demo #IndonesiaGelap itu ndasmu. Sejatinya dia anti demo krn takut #KaburAjaDulu ke Yordania lagi,Anger,174,26
Minobi abis liat banyak warga X yang pindah WN nih. Sederhana tapi ada banget ya damage nya Pengen deh bisa kerja di luar negeri dapet salary standar luar tapi tetep jadi WNI. Kira-kira ada jalannya gak ya? #KaburAjaDulu,Sad,220,38
@logos_id #KaburAjaDulu #USAgelap,Neutral,33,3
@faridhcrb @Uki23 Kata anggota @psi_id wanita yg dah duluan di bully di X : Rasain lu ki emang enak dirujak Netizen maha benar !! #GantianDong #KaburAjaDulu,Anger,156,26
Source https://t.co/UMjjOdKaLs https://t.co/kRvTSA3zPx https://t.co/2dmKdO7d8i #mayapadacurang #usutmayapada #usuttuntasmayapada #fyp #viral #usuttuntas #mayapada #tedsioeng #adilimayapada #fact #DarkIndonesia #KaburAjaDulu #IndonesiaGelap2025 #IndonesiaEmas2045 #MARK https://t.co/PcjglRD2bU,Anger,292,20
@petalice_id Listrik naik gaji turun ngerasa jg ga sih kak klo selama bulan puasa ini ekonomi jadi 'melambat'? Perasaan dluu tiap ramadhan tuh selalu jadi bulan paling waste money dan rezeki everywhere i think KaburAjaDulu is really the best idea,Sad,246,40
@sconosciutonism Iya lagi u tim #kaburajadulu atau punya misi di id,Neutral,67,11
@worksfess Data analysis nder. Kalau mau kaburajadulu susah finance tuh. Selain itu data analysis cukup versatile di berbagai industri,Neutral,134,19
Teraerah lo lah! Negara ini emg buat segelintir pejabrut/birocrot aja. #SalamWaras #KaburAjaDulu kek maskapai baru yg bermarkas di SG meski punya org ID. Kalian gak merasa ditampar? Lha emg pd gak tau malu. Au ah GELAP!,Anger,219,36
@Risku hawwoh abaang :{ jadi gimana rasanya #kaburajadulu dari jepang ke seoul? apa ngerasa perbedaan yang jauh? id like to know! ,Neutral,130,21
Tagar #KaburAjaDulu yang viral di media sosial bukanlah sekadar tren sesaat melainkan sebuah fenomena yang menggambarkan keresahan dan keinginan sebagian anak muda Indonesia untuk mencari kehidupan yang lebih baik di luar negeri. Begini penjelasannya! https://t.co/n2ipSjYzUL,Neutral,275,35
Trend #KaburAjaDulu! Dubes Jepang Respons Ajakan Kerja di Luar Negri https://t.co/PuUxTpGrSt Fenomena ajakan untuk bekerja di luar negeri melalui tagar #KaburAjaDulu #bacotangenz #BreakingNews #viraltwitter #Kimsoohyun #beritaterkini #Jepang https://t.co/7V1W3jPUfQ,Neutral,265,28
Source https://t.co/UMjjOdKaLs https://t.co/kRvTSA3zPx https://t.co/2dmKdO7d8i #mayapadacurang #usutmayapada #usuttuntasmayapada #fyp #viral #usuttuntas #mayapada #tedsioeng #adilimayapada #fact #DarkIndonesia #KaburAjaDulu #IndonesiaGelap2025 #IndonesiaEmas2045 https://t.co/onmqQw64O6,Anger,286,19
@garpusome44 @SP_IndiraJKT48 @Indiraise_ID Sial iyalagi kalo dira udh ga sayang aku saatnya #KaburAjaDulu ke thailand,Sad,117,15
@_yvngr_ @SP_IndiraJKT48 @Indiraise_ID #KaburAjaDulu wkwk,Joy,57,5
hello yg butuh graphic designer bole hubungi aku yaa aku bisa: 1. graphic design 2 website design 3. promo video 4. vector illustration bisa cek profilku dulu https://t.co/kNys0yPi8r thank you! #KaburAjaDulu,Neutral,207,31
