Tweet,label_encoded
jangan pernah rendah diri sendiri kita luar biasaa,4
beomgyu sekali muncul suka bikin nang soal kangen soal sweet berat banget,3
mager membacamalu sendiri,5
soal korupsi impor gula tim lembong ungkap peran jokowi telepon hingga temu empat mata,4
ikut ikut sedih dengernya,5
two twts bikin emosi mmpir kuy,0
sidik kpk geledah rumah pribadi kepala dinas pupr sumut nonaktif topan ginting komplek royals sumatera medan sumatera utara,4
gilir segala bau islam dikebiridpojokkan alih omikron serius yang muslim marahimannya turun emnx pura muslim,0
semangat deh,2
kasihan nih orang istilah anak kolong tidak bisax main medsos malas baca bodoh beud,0
sedih banget denise leave,5
lucu banget jisuung twibinyaa happiest ulang tahun sayangkuu wishing kamu anything but only the best one your life jangan lupa mam enak hari,2
ulang kamu tryhard chamber nya santai tapi harus clear yang penting,4
kirain jumat loh vibesnya kaya hari jumat sepi,4
masih sedih difb base bisa kirim arghh beneran saya lebih pilih tidak-apa-apa keunfoll sendiri driada cari folls akun akun ram,5
bang johnny kalau lihat lebih dalem orang suka tempat diri belakang layar jadiin suka banget sama karena sama suka ngelakuin banyak tanpa lihat tonjol pribadi suka dapet perhati ken tani orang yang emang,3
mata nang kalau main makin stress panik buat paling asa pas siang hari asa timbul enak kalau ada dalam kamar kedap kalau luar ruang ada hawa angin ada justru oke banget jalan hari,4
memang sedang sepi selamat pagi,4
kucing hilang lps chi hilang cha xselera makan wife bgtw cha kurus mknn fav pun langsung makan rindu sangat chi ikut dulu selalu jilat chi ikut chi masalah cket xblh jalan normal masalah saraf kaki blka,4
thankyou gale kamu perhati banget sama suka sama,3
pagi buta sarap nasichiki boncabe hmm perut mulai tidak enak,5
njopp akan datang bawa cinta untuk sayank njopp sedih jangan lamalama semangat ayang love kamu banyakbanyak jadi proud kamu really cheer honey kamu deserve better kamu tersayangg lama,3
pagi tiba tiba baca banyak berita cebong ngamuk ngamuk cari banyak alas dewa nya harga luhut pidatocebong hibur diri pura pura bahagiacebong cebong bodoh idiot kalian permanentmentang mentang gratis kamu ambil semua bodoh nyaidiot,0
ihh mau marah,0
korupsi sakit suka rampok rusak dalam koruptor rampok seragam jabat kalau suatu negara mau maju korupsi jadi musuh sama koruptor hukum finansial sosial kompromi,0
jangan marah osah,1
duh tuh anak laku mirip banget deh biar dinasehatin terus tiap hari dulu suka nyindirin kedok self reminder mending langsung kasih copy pastenya tuhan haha,0
pagi dunia hari saya boleh sedih semangats,2
oke arti dia panik jadi jawab konsisten wkwkw,2
suka kagum banget sama cowok ambiss sama masa depan,3
malah enak,2
hari tidak berfikir jernih bawa sedih thankyou denise youre favorite maknae,5
baru minggu vegie kangen banget makan ayam goyeng akhir makan ayam kereta beli ayam mekdi spicy gambir maem bareng ayang nyuapin ayang padahal terlalu suka ayam karena mau mekdi doi mau tidak mau ikut makan sekarang senang tidak makan ayam,3
gapyear kalian bangun jam pagi terus ajar tidak ngantuk jam sekarang bagaimana tipsnya sender suka ngantuk sekarang meski tidur cepat banyak minum air putih banyak terima kasih,4
satu yang benci lambat sayang orang,5
pak lah ringan kan beban jadi orang tua takut anak nya vaksin anak tahun pak umur nya dada nya sering sakit pak vaksin satu terkadang mau nekad untuk bunuh diri terlalu tekan kena vaksin pak saya pak,1
siap suka banget,3
gila lockey kalian stay strong tidak bayang kalau member keluar kalau berita member keluar entah grup mana jadi ikut sedih moga trejo aman depan,5
bissmillahirohmanirrohim sih takut ina masuk grup neraka padahal ina sering buat grup jadi neraka,4
benci tahun,0
pagi menang menang metawin moga makin banyak solo projek solo endorsement series baru projekprojek yang bikin menang bahagia,2
dengar cakap orang commitment kamu orang settle kan tanya kalau puas hati manusia memang kamu ikut manusia sifat tidak pernah puas,2
pernah infinite kalau monsta pernah awal suka sungjong gara visual dan kiyowo banget kalau ngambek tuh kaya bocah terus pincut sama woohyun gara vocal nya sama sok ganteng akhir woohyun jadi bias pertama sungjong bias dua,3
saya jelasin hyung jangan jangan marah,4
mantan menteri dagang thomas trikasih lembong alias tom lembong jalan periksa dakwa kasus duga korupsi importasi gula adil tipikor jakarta pusat,4
suka gambar semua bagi satu sepatu malas banget apa yang tali iihh gaa mauuu,3
kita kabur beneran nih,1
bibi masak sayur bening katuk dong sama bakwan jagungpake sambel terasi sama ayam goreng enak nih mau menu iya tidak sayur katuk anterin yuk pasar sudah ayuk mbak banget lihat orang makan kemarin,4
kalau dengerin satu lagu sudah suka banget bakal ulang terus moal,3
lengkong bodoh,0
benar ragu baik ulur tangan malumalu sang kawan jangan bawa tempat anehaneh,4
sah bodoh,0
hmm imo seni untuk dinikmatin harus kuasa dasar sama kaya kamu harus paham hukum elektromagnetik buat main paham hukum aerodinamika buat ngayuh sepeda and lastly yang lakuin tidak rugi orang kok biarin bahagia,2
takut,1
bangsat banget,0
sebenernya waktu jadi seeun love first sight deh sama seeun nontonin stayc terus langsung suka banget sama seeun habis iseng jadi seeun malah nyaman,3
sabtu rasa emang kaya weekend tidak santai yaa ingat tagih nanti,4
ramai tagar istana kalau mau rantau punya skill,4
aksi pak jangan maaf mulu masih jadi suruh jokowi,0
kalau ceritain semua kamu takut kamu tinggalin saya suka sendiri,1
kei enak,2
biasa jiga kieu mah jadi jahat jaka sembung,4
kpk singgung kualitas jalan sumut buruk gegara kad pupr korupsi,4
sekarang masih suka banget sih sama air sudah ingin jadi mermaid sekarang mau jadi tyrannosaurus rex,3
alhamdulillah pagi dapet kabar baik,2
nugget sosis rebus enak ygy,2
ajar islam utuh jangan hukum islam biar jadi orang bijaksana adab,4
ika kamu benar kamu perlu marah kamu salah kamu wajib minta maaf,4
hai nottie semangat yaa hari jangan lupa sarap yaapy weekend paw,2
tolol tau crush nya ngerti bahasa inggris malah ngode pakai lagu western,0
jadi orang rumah dua rumah pertama gagal jadi tempat nyaman untuk pulang salah besar orang kau jadi rumah dua bisa pergi kapan tanpa kau tau,4
perintah prabowo terpa banyak masalah mulai pagar laut langka gas lpg demonstrasi indonesia gelap tagar kabur dulu sayang prabowo pernah muncul langsung jawab semua krisis sebut,5
sate anna kan suka banget makan sate,3
kamu saya kecewa sakit cemburu bikin sesak kangen galau kamu peka nang papa kok,5
simpang tengkawang antri kendara normal empat kaki simpang situasi arus lalulintas lancar,4
temu kentang goreng sangat enak akan memberitahu kalian tunggu tidak sekarang apa bisa jadi konten akan laku apa diri sendiri jadi makan waktu lama,2
taik benci twitter suka refresh sendiri bangsaat padahal tadi tweet lucu jadi baca,0
siapa jadi presiden akan sejahtera semua rakyat indonesia waktu singkat sebutin presiden dahulu yang bisa kalau,4
banyak idol habis kena word selesai loh tidak kabar sama sekali helloo,4
hitung rugi terima jaksa tinggi provinsi banten tim audit kantor akuntan publik korupsi pun turut rugi warga tangsel,5
lah tibe kena marah,0
masih megang buka preloved buku suka tanya detail kaya begini meski tidak jadi beli awalawal malas sih makin kesini sadar karena zaman sekarang banyak jual barang palsu harga normal jadi jual emang sabar,4
manusia kamu punya aspek cerdas sikap fisik biar tapi kan bodoh jelek sopan banget suka tolong atau anak galak tukang bohong jelek tapi pintar nilai bagus temenan sama minimal punya,4
pagipagi kabar senang bangett emang habis sediha selalu yang bikin bahagia,2
hubung keluarga mertua xde isu tegur semua ipar duai macam biasa buat baik semua orang kisah lah orang suka atau yang penting jangan sibuk pasal hidup orang jangan campur urus orang kalau yang adu pasal masalah rumahtangga layan,4
sedih kali wak,5
takut banget serius enih tempat curhat saya suka lupa mau curhat,1
nilai sindir video tiktok maia estianty panen kritik,4
menteri bumn erick thohir ajak warga manfaat lahan rumah jadi lokasi tani erick thohir mnggagas program energi tani energi tani brtujuan mmbumikn semangat tan shingga masyrkt mnghasilkn produk tani mandiri,4
lagi nyari jasa unsus unlock bisa yap unlock all case acc unlock umur acc unsus biasa acc payment laku akhir close uns permanen semi perm,4
kadang cewek suka pasang topeng sok tegar sok fine sok its gonna okay padahal hati bikin sesak banget,5
jarta sama ael pagi pagi bikin emosi anjing,0
potensi ancam amp implikasi serang israel iran tengah tahun lengkap gtgt key jumat budaya hari valentine cokelat chitato not your fault hyuna wiege,4
job sepi banget,5
yuk gasbayar utang puasa ramadhan tahun lalu sumber,4
rasa sedih hari nismlm tgk lgipgi takdehurmmapapon sangka baikk,5
semangat,2
ntah tolol beneran purapura tolol masih butuh informasi semua akun sosial saya buka umum,0
kasus korupsi chromebook jagung panggil wakil google jaksa agung jagung menjadwalk,4
artist the tahun jepang jeon wonwoo hun jungkookie green hari yixing telur hilang cokelat hidup jokowi are one chanyeol mark lee pak sby,4
semalem keburu tidur pagi nang banget kagett denise ngonfirm keluar apa sedih banget moga jalan pilih denise baik diaa dia bahagia sukses teruss denisee asli kenang ngestan jaman denise ingat terus jadi kangen,5
sangat relevan kondisi bangsa sangat puruk,5
jangan jebak tppo,1
nah baru imbang masa istri yang tuntut,4
jangan masuk psikologi kalau suka hitunghitungan suka usaha psikologi tidak harus pintar penting tekun konsisten banyak banget matkul sifat tugas jangka panjang butuh sabar konsistensi diri sendiri,4
masa pagi nang benci banget sma hati lemah,5
habis lihat cinta laura wawancara lama beliau ngomong nganggukngangguk soal rasa relate cuma motivasi yang kalah besar suka malas rasa bahagia datang bukan sendiri ketika saya bantu beri dampak,4
sayang wajamu genit mesraaku suka banget sayy,3
panik tetiba mata bengkak belah nyata alergi ibuprofen,1
macam sedih strees ikut xde duit tau tah,5
kalau kunjung suatu daerah seperti jamin sepi kerumun ada satu masyarakat keluar kunci jangan daerah biar saja daerah,4
rice cooker mini liter krem harga murah pesan shopee tokped,4
serius saya enggak terima brondong malu,4
summit konferensi kembang teliti buat bangun summit jadi sempat luar biasa ajar hubung para pimpin puncak space,4
have nice hari teh semangat banget nih lihat lihat,2
jadi orang sulit kontrol emosi akhir sekarang tetap sulit,4
arti marah,0
enak banget bangsat bisa nya bilang flop,0
warded muka sedih,5
hari selalu marah marah dia pens emyu,4
senang bangett pagi baru bangun dapat kabar baik jimin,2
viral tagar medsos reaksi kemlu,4
suka selalu arti cinta saja rasa kagum,4
enak enak kangen kerja masih suruh istirahat sama ayah,5
kaget banget pas nonton bagi tapi habis tertawa ekspresi gemes kamu,2
kakak jadi malu tau,1
sumpah nomor komen brcnd temen lumayan lama paling lama itungane mau tiga tahun apaso far jadi good galak banget sumpah keren banget anak kreatif suportip suka minum kopi hari habis liter habis bilang bisa tidur,2
tim bubur topping kacang kedele banyak kecewa dapat,5
betul phi tidak pernah merhatiin tanggal sudah ganti hari tuh sudah biasa tidak hari spesial,4
padahal akun sepi beda sama first acc saya lebih betah sini,4
capek nyari kerja nyari judul masalah rumah tambah diputusin pacar wkwk murung beberapa hari kostan ada bestie selalu bilang begini alhamdulillah sekarang dapet kerja bener bener ingin lupa sama sedih belum,2
kemarin coba tahan buat buka twitter sekali buka kabar kalau jimin sakit kaya langsung bikin sesak pas bilang kalau army usah khawatir bagaimana makin nang tapi saya syukur sekarang sudah sembuh sehat terus anak baik luv kamu,2
honestly not the cheerful type orang lebih suka diem kalau penting malas ngomong mau sok asik but tuntut peran jadi sok baik deh haha lucu banget maksain buat twofaced kesel benar,0
tipu lah kalau rindu guy suka buat lovebite dekat tits,3
harta kaya kad pupr sumut jadi sangka korupsi proyek jalan,4
jaga takut die terjun itu huhu,1
otak kaum kamu tolol pakai sumber nasional drun,0
sayang bakal satu batas suka batas teman dekat sudah lebih cukup insya allah,5
revisi proposal kira krevisi perintah nambahin jelas variabel hasil teliti tiap variabel hilang hari datang nuduh nipu padahal cust lain suka kasih bonus page kurang harga,5
keep streaming guys semangat,2
source,0
lah iya pernah agx tolol,0
hmm takut tetap usaha percaya diri lah pokok,1
banget kalau slr cuma balas ada marah ato bete wajar sih saya rasa salah,5
kemarin tapi dprd,4
korupsi desa cegah peran masyarakat sangat penting pasti dana desa guna benar yuk paham bagaimana cara baca lengkap,2
tibatiba ingat dulu pas ospek senior baik banget sama sampai ajak ngobrol pakai bahasa saya ngerti dong nyata pikir sekolah asal provinsi padahal beda haha tapiya tetap baik sih cuma agak malu tiap ketemu,2
semangat cantik,2
sekarang gilir kena kasus korupsi kali soal ada edc tahun nilai lihat siapa jabat internal jerat acung jempol buat,0
ular buaya tikus kalau panggang enak,4
lebih murah lebih enak daripada sri,2
sarap tenong enak,2
tidak sih main tim nasional putri,5
alhamdulillah jimin akhir negatif sayang senang banget dapet kabar baik pagi hari huhu sehatsehat,2
emang bisa kalau urus tuntut kerja profesional tuh libatin keluarga ngegampangin banget mau marah rasa enak kentel yang pengaruh hubung keluarga,0
terimakasih kakak bianca nama kakak cantik sama sih tidak suka suka banget kalau bagus terus genre horror sukaa kalau saya untuk genre lebih milih thriller,3
waktu indonesia pimpin truk dadi ratu surat takdir orang emban bantu batur pimpin suatu negeri besar alhasil rusak semua tatanan korupsi rajalela keluarga hidup mulya rakyat sengsara,0
avoskin miraculous refining peeling serum,4
senang ulang tahun mom sorry lupa pandai kata cuma mau bilang sehat sehat makas lahir saya keduania maaf selalu bikin marah terus kadang bisa ngertiin ada mama love kamu hahah dah telat hari,3
mandiri tanggung jawab rendah hati sabar takut tuhanitu sudah cukup harap,2
this economy rasa dunia ghibli,5
pagi nih cerah sini,2
becandabecandaan jadi sukasukaan jadi sayangsayangan sampai akhir saling takut hilang,3
perintah terus kuat tega hukum tangan kasus korupsi besar sita aset rupiah miliar bulan akhir tunjuk komitmen nyata berantas korupsi hingga akar,4
dua sih cuma paling bisa nahan nafsu buat marahmarah,4
orang kok suka banget cari salah aespa iri bilang sahabat damn kalau suka mending usah lihat,0
semua bayar balas dendam sasuke uchiha,0
thank kamu buat nya dom jogja moga taehyun member tubatu lain moa bahagia selaluhappy taehyun hari,2
tau kamu kan jadi malu wkwk,2
kalau main tiktok bikin kamu jadi orang tolol adab tau toleransi better kamu stop main tiktok karena konten jadi hilang attitude,0
tiap kali intuisi benar antara bikin lega ngeri sih,1
rcpc ada kabar datang lim waktu tolol,0
jangan sini malu,1
isu pasal didik paling tidak puas hati dulu sjk dapat fasiliti lengkap compare smkk,4
lho kaget baru sadar,1
puji tuhan senang banget pagipagi kabar kalau jimin bisa pulang rumah,2
gila malu banget lah,1
marah jual murah marah pada lalu tanya siapa sakit entah makhluk langka apa hasil sakit cinta,4
asli malu maluin orang indonesia tolol rep latah cilukba pakai huruf hijaiyah sama ngntd sama ganti huruf pakai salib tiktok filipin lewat fyp dan repnya ngtd semua dasar goblogg trend tiktok ter tolol,0
kalau makji aktif begini otomatis harap dapet saldo kaget padahal sering nyadar kalau akun lapak makji tuh gaib walaupun nimbrung ramai tiap hari,4
semangat kerja ayang,2
juga mau aware ttg isu sehat mental sini mau negasin karakter hana sebenernya bukan denialgengsi punya hati rata orang punya trauma seksual lebih sulit buat jatuh cinta nerima diri nya jatuh cinta terlalu takut,1
menkomdigi meutya nilai tren bentuk bebas ekspres,4
bagai mantan yeen lovers rasa malu moga cepat tobat bantink stir jadi yeen pobic gws buat temen kamu,4
yakan semangat hafal treasure nya,2
sedih banget onlen,5
saya lebih suka pakai aksen british walaupun paham banget dengernya enakeun,3
senang ulang tahun jiann adek gantengkuu gemes ucul kuat perkasa moga charamu kamu sukses terus bahagia selalu kasih banyak rejeki damai hidup banyak makin sayang sama kamu have wonderful hari,2
dulu medsos baca banyak komen pssi peleset panjang partai sampah indonesiadan sangat sedih mendengarnyatapi sekarang baru mulai percaya hal ituterlebih sekarang tahu kwalitas pimpin ini,5
sedih tuh lihat,5
kamu selalu beri argumen akan kamu sakit anjing kalau emang kamu suka sama fine tinggalin awal tidak perlu ngerespon lebih dari itu justru kamu ngerespon akan yang bakal jadi nyata banget,0
ibu biologi ayah tani untung nama anak normal normal,4
biasa nya kalian mgespace,4
terlalu cuek capek antem terus tiap keluh terlalu sibuk cuek malah dia yang marah like apa,0
orang cinta jangan benci mungkin tumbuh benih cinta,3
yang mata nya sembab begadang sembari nahan tangis,5
shipper belah kalau suka sama noren ush mampir tau benci sama noren malah baca nya kocak bngt kamu,0
dari semalem sedih banget sampai nang wong ada memb lockey semangat mesti bisa kok,5
menang kalau rambut turun cakepp banget paling suka,3
enak pasti,2
alhamdulillah luar biasa allahuakbar,2
mvs nonton sekian kali masih tetap mau nang recommended buat lagi mau nonton sedihsedih,5
iya iyaang mau reply biasa kong saya tag bapak adetakut nganu,1
tau berat banget depan jujur jalan buntu cuma mau ikut alur tapi percaya sedih kaya bahagia semua habis sedih nanti bahagia kok begitu balik semua sifat tidak apa kok kan hati luas samudra,4
memang jepang top saudara tua,3
takut sombong,1
tidak-apa-apa dek santai saya pernah kok tahun beda jadi kalah kalau tidak jadi menang awikwok siiuu,4
boom pernah mengsms hyoyeon dar sapa seta akhir iya dapat kecewa hyoyeon lupa saja,4
ingat tetap jadi orang baik mungkin kamu buat hancur mereka sedang tau apa mereka buat tuhan selalu beri ampun manusia masa kita sama mamusia bisa saling ampun,4
siniiii riyeeeel ayok gaskeuuun whehehehe,2
ngeri lah kalau cara,1
hmm roman enak nii,2
wkwk apa kok sedih kaya wajarmending nonton momen bawa sekarang wkwkw kalau rewatch getheer,4
bahkan itu palsu terimakasih buat rasa penting,5
saja,4
nder gaul banget serius suka banget keren mantap lopppeeee,3
bodoh sekali liga spanyol nomor siapa,0
pasti rasa salah banget sama sone dasar agens bangsat,0
marah beneran allah,0
makji ingin mam mie ayam bbm minggu lalu tidak makji takut iler cacing,1
wamenaker immanuel ebenezer gerung anggap tagar bukan perlu masalah bahkan nada santai minta masyarakat yang ingin pindah luar negeri tidak lagi,0
nasi biasa canpur sambal cikur sangrai,4
iya ajgg benci banget,0
baca lucu marah uang rakyat dikorupsibagaimana investor mau investasi kalau uang makan jabat ace golkar ajar ahy soal kuda hitam penting strategi,4
kalau interact sama kamerad joo jadi kesel mana kamerad joo nya gemes banget malu malu kucing mohon jadi salfok sama their little momen episode are jadi precious,2
ratus woi baikbaik ada lubang bekas tambang kawasan ibu kota negara ikn nusantara luas ribu hektare lubang hasil total konsesi usaha tambang,4
yaa kann rasa capek cuma lari jadi lot bangett emosi,0
semangat flo,2
lupa banget cara nang kadang biar nang pancing pakai nonton film sedih ttp susah bagaimana takut sistem air mata tidak reproduksi,5
rasa pintar bodoh tidak punya,4
bahlil dong pak,0
dalem hati padahal panik anying bodoh,0
heh salah upload malu,1
baru kirim foto brebes jawa tengah indonesia,4
korupsi ada edc bank bri rupiah triliun duit siapa nasabah alias rakyat,0
ihh sedih bgtt,5
begini mamah nya sering banget minta temenin pergi nyuruh main rumah padahal mamah tau sudah tidak bareng asa takut takut bikin risih pasang doi nanti akhir suka cari alesan dan aga beri space,1
sepatu hmgunung buat tapak tidak adil negeri langsung,0
pasa sedih sini hibur gdm have fun,4
orang but kalau flop mora hapus soal malu,1
ragu mau balas pakai kata apa pakai foto dan akhir keluar,1
lemah orang lelaki apabila suami sabar kondisi perempuan mandul nikah cari lain pukul diskriminasi diam tutup aib nafsu muncul penuh jangan kata tidak sedih banget jadi perempuan,5
foto ootd aesthetic mana tantri namirah tampil gaul depan warung bengkel,4
dulu pernah diajarin buat cari tau apa saya suka bisa exercise cukup unik ini logical banget kita mau nge flow kita musti start gerak dari yang lihat percaya diri bangun sendiri,4
cinta banget sama kue iniiii sksks,3
jujur awal sekarang cuma suka jeongwoo haruto teeasure harap banget bikin duo,3
mau komen takut wkwk,1
terima cinta bisa hidup tanpa lebih baik mati bila hidup tanpa,4
lah emosi mulu lihat emyu,0
kalean apa bangsat,0
beli snp serok bumn yah beli tiket buat kaburajadulu,4
ogeb bat pakai sok sok kaget,1
rokok kak beneran rokok samsek diem rokok padahal papah okok akut terus dulu sempet kasih rokok buat ngetest dia suka sekarang rokok temennya rokok dia tetap tidak jadi ada cowok tidak ngerokokd,4
ngeri ekspedisi apa aman sekarang,1
opini kamu jelek bro tutup keburu agama kamu benar poligami hindar zina tolol palkon banyak bacot ttg agama begini,0
looh bagaimana dulu cerita balikinnya,0
ngeri edit,1
goblok mah goblok sendiri buibu tetangga gresik kemarin begini semua miris punya komunitas bodoh nan tolol hal tergaenak pernah alami tahun sana,0
